name,team,position,value,predicted_pts_mid,predicted_pts_low,predicted_pts_high,confidence,pos,predicted_pts_scaled,role
Antoine Semenyo,Man City,3,8.1,3.69,1.9400000000000002,5.446666666666666,Low,MID,2.7522972972972974,Starter
Bruno Borges Fernandes,Man Utd,3,9.9,3.313333333333333,1.5933333333333335,5.033333333333334,Low,MID,2.8852522522522523,Starter
Declan Rice,Arsenal,3,7.6,3.4050000000000002,1.6575,5.1525,Low,MID,2.5595135135135134,Starter
Erling Haaland,Man City,1,14.8,2.7533333333333334,1.1033333333333333,4.403333333333333,Low,FWD,3.4333333333333336,Captain
Gabriel dos Santos Magalhães,Arsenal,0,7.1,3.1625,2.12,4.2075,Low,DEF,2.3837297297297297,Starter
Igor Thiago Nascimento Rodrigues,Brentford,1,7.1,3.1766666666666663,2.08,4.276666666666666,Low,FWD,2.3893963963963962,Starter
João Pedro Junqueira de Jesus,Chelsea,1,7.7,3.0966666666666662,2.316666666666667,3.8800000000000003,Low,FWD,2.451936936936937,Starter
Marc Guéhi,Man City,0,5.2,2.483333333333333,2.11,2.85,Medium,DEF,1.8126846846846845,Starter
Micky van de Ven,Spurs,0,4.5,2.296666666666667,1.6366666666666667,2.953333333333333,Low,DEF,1.627720720720721,Starter
Morgan Rogers,Aston Villa,3,7.7,3.8866666666666667,1.5566666666666666,6.216666666666666,Low,MID,2.767936936936937,Starter
Robin Roefs,Sunderland,2,4.9,2.27,1.0766666666666669,3.4633333333333334,Low,GK,1.6800810810810811,Starter
Josh Acheampong,Chelsea,0,3.7,0.5466666666666666,0.21666666666666667,1.0566666666666669,Medium,DEF,0.8016666666666666,Bench
Max Dowman,Arsenal,3,4.2,0.0,0.0,0.2375,Medium,MID,0.6617837837837838,Bench
Rhys Williams,Liverpool,0,3.7,0.0,0.0,0.21666666666666667,Medium,DEF,0.583,Bench
Ármin Pécsi,Liverpool,2,3.8,0.0,0.0,0.21666666666666667,Medium,GK,0.5987567567567567,Bench
